# polycrystal lookup table
# Date: 2021-05-31 21:02:47.746800
# Generated from NCrystal (https://github.com/mctools/ncrystal)
# Reference: X.-X. Cai and T. Kittelmann, Comp. Phys. Comm. 246 (2020) 106851
# Phase alpha: Fe_sg229_Iron-alpha.ncmat, 50%
# Phase gamma: Fe_sg225_Iron-gamma.ncmat, 50%
SIGA=0.0118557
SIGI=0.00333071
SIGC=0.0934437
SIGF=0.0933996
SIGS=0.000622839
BT=0.112542
BMPH=0.392813
# dhkl[A], multiplicity, FHKL/cell_volume [fm/A^3], h, k, l, phase
2.11195	8	0.542712	1	1	1	gamma
2.0277	12	0.570551	0	1	1	alpha
1.829	6	0.541598	0	0	2	gamma
1.4338	6	0.574378	0	0	2	alpha
1.2933	12	0.537166	0	2	2	gamma
1.17069	24	0.578231	1	2	1	alpha
1.10293	24	0.533866	1	3	1	gamma
1.05597	8	0.53277	2	2	2	gamma
1.01385	12	0.582109	0	2	2	alpha
0.9145	6	0.52841	0	0	4	gamma
0.906815	24	0.586014	0	1	3	alpha
0.839203	24	0.525164	1	3	3	gamma
0.827805	8	0.589945	2	2	2	alpha
0.817954	24	0.524086	0	2	4	gamma
0.766398	48	0.593902	1	3	2	alpha
0.746686	24	0.519797	2	4	2	gamma
0.7169	6	0.597886	0	0	4	alpha
0.703982	32	0.516603	1	5	1	gamma
0.6759	36	0.601896	0	3	3	alpha
0.646649	12	0.511324	0	4	4	gamma
0.641215	24	0.605933	0	2	4	alpha
0.618315	48	0.508183	1	5	3	gamma
0.611374	24	0.609998	2	3	3	alpha
0.609667	30	0.50714	0	0	6	gamma
0.585346	24	0.61409	2	4	2	alpha
0.578381	24	0.50299	0	2	6	gamma
0.562383	72	0.618209	0	1	5	alpha
0.55784	24	0.499899	3	5	3	gamma
0.551464	24	0.498873	2	6	2	gamma
0.527987	8	0.494791	4	4	4	gamma
0.52355	48	0.62653	1	5	2	alpha
0.512222	48	0.491751	1	7	1	gamma
0.507273	24	0.490742	0	4	6	gamma
0.506925	12	0.630733	0	4	4	alpha
0.491789	48	0.634963	0	3	5	alpha
0.488821	48	0.486726	2	6	4	gamma
0.477933	30	0.639222	0	0	6	alpha
0.476231	72	0.483735	1	7	3	gamma
0.465186	72	0.64351	1	6	1	alpha
0.45725	6	0.478792	0	0	8	gamma
0.453407	24	0.647827	0	2	6	alpha
0.446896	24	0.475851	3	7	3	gamma
0.443598	48	0.474874	0	2	8	gamma
0.44248	48	0.652172	1	5	4	alpha
0.432307	24	0.656547	2	6	2	alpha
0.431099	36	0.470988	0	6	6	gamma
0.422805	48	0.660951	1	6	3	alpha
0.422389	56	0.468094	1	7	5	gamma
0.419601	24	0.467134	2	6	6	gamma
0.413902	8	0.665384	4	4	4	alpha
0.408977	24	0.463311	0	4	8	gamma
0.40554	84	0.669847	0	1	7	alpha
0.401518	72	0.460464	1	9	1	gamma
0.399121	48	0.459519	2	8	4	gamma
0.397665	24	0.67434	0	4	6	alpha
0.390231	96	0.678864	1	7	2	alpha
0.389944	24	0.455759	4	6	6	gamma
0.383463	48	0.452959	1	9	3	gamma
0.383199	48	0.683417	2	6	4	alpha
0.376534	24	0.688001	0	3	7	alpha
0.373343	24	0.44833	4	8	4	gamma
0.367643	72	0.445575	1	7	7	gamma
0.3658	30	0.444661	0	0	10	gamma
0.364186	96	0.697262	1	6	5	alpha
0.358696	72	0.441022	0	2	10	gamma
0.35845	6	0.701939	0	0	8	alpha
0.353632	72	0.438313	1	9	5	gamma
0.352977	96	0.706648	1	8	1	alpha
0.351991	32	0.437413	2	10	2	gamma
0.347748	48	0.711387	0	2	8	alpha
0.342744	48	0.716159	3	6	5	alpha
0.34111	48	0.431168	3	9	5	gamma
0.339637	72	0.430283	0	4	10	gamma
0.33795	36	0.720963	0	6	6	alpha
0.333928	48	0.426762	2	10	4	gamma
0.333352	120	0.725799	0	5	7	alpha
0.329831	48	0.42414	1	11	1	gamma
0.328936	24	0.730667	2	6	6	alpha
0.324692	48	0.735569	2	7	5	alpha
0.323325	12	0.419806	0	8	8	gamma
0.320607	24	0.740503	0	4	8	alpha
0.319601	120	0.417227	1	11	3	gamma
0.318388	48	0.41637	2	8	8	gamma
0.316673	48	0.74547	0	1	9	alpha
0.313671	48	0.412963	0	6	10	gamma
0.312881	48	0.75047	2	8	4	alpha
0.310268	72	0.410426	3	11	3	gamma
0.309221	120	0.755504	1	9	2	alpha
0.309157	48	0.409584	2	10	6	gamma
0.305687	24	0.760572	4	6	6	alpha
0.304833	30	0.406232	0	0	12	gamma
0.302272	120	0.765673	0	3	9	alpha
0.301707	56	0.403736	1	11	5	gamma
0.300686	24	0.402907	0	2	12	gamma
