# z strain profile [mm, 1e-3]: z, e_xx, e_yy, e_zz, [e_yz, e_xz, e_xy], [px, py, pz]
0	1.591	-0.445	-0.445
0.1	1.432	-0.401	-0.401
0.2	1.273	-0.356	-0.356
0.3	1.114	-0.312	-0.312
0.4	0.955	-0.267	-0.267
0.5	0.795	-0.223	-0.223
0.6	0.636	-0.178	-0.178
0.7	0.477	-0.134	-0.134
0.8	0.318	-0.089	-0.089
0.9	0.159	-0.045	-0.045
1	0.000	0.000	0.000
1.1	-0.159	0.045	0.045
1.2	-0.318	0.089	0.089
1.3	-0.477	0.134	0.134
1.4	-0.636	0.178	0.178
1.5	-0.795	0.223	0.223
1.6	-0.955	0.267	0.267
1.7	-1.114	0.312	0.312
1.8	-1.273	0.356	0.356
1.9	-1.432	0.401	0.401
2	-1.591	0.445	0.445
2.1	-1.432	0.401	0.401
2.2	-1.273	0.356	0.356
2.3	-1.114	0.312	0.312
2.4	-0.955	0.267	0.267
2.5	-0.795	0.223	0.223
2.6	-0.636	0.178	0.178
2.7	-0.477	0.134	0.134
2.8	-0.318	0.089	0.089
2.9	-0.159	0.045	0.045
3	0.000	0.000	0.000
3.1	0.159	-0.045	-0.045
3.2	0.318	-0.089	-0.089
3.3	0.477	-0.134	-0.134
3.4	0.636	-0.178	-0.178
3.5	0.795	-0.223	-0.223
3.6	0.955	-0.267	-0.267
3.7	1.114	-0.312	-0.312
3.8	1.273	-0.356	-0.356
3.9	1.432	-0.401	-0.401
4	1.591	-0.445	-0.445
4.1	1.432	-0.401	-0.401
4.2	1.273	-0.356	-0.356
4.3	1.114	-0.312	-0.312
4.4	0.955	-0.267	-0.267
4.5	0.795	-0.223	-0.223
4.6	0.636	-0.178	-0.178
4.7	0.477	-0.134	-0.134
4.8	0.318	-0.089	-0.089
4.9	0.159	-0.045	-0.045
5	0.000	0.000	0.000
5.1	-0.159	0.045	0.045
5.2	-0.318	0.089	0.089
5.3	-0.477	0.134	0.134
5.4	-0.636	0.178	0.178
5.5	-0.795	0.223	0.223
5.6	-0.955	0.267	0.267
5.7	-1.114	0.312	0.312
5.8	-1.273	0.356	0.356
5.9	-1.432	0.401	0.401
6	-1.591	0.445	0.445
